TRAPPC6A	SEC13	0.8497082254156562	
TRAPPC4	F8	0.8526462282435747	
TRAPPC3	LMAN1	0.8526462282435747	
TRAPPC5	COL7A1	0.8526462282435747	
TRAPPC5	SEC13	0.8497082254156562	
TRAPPC6B	TMED2	0.8526462282435747	
TRAPPC1		1	
TRAPPC3	SEC31A	0.8497082254156562	
TRAPPC3	TMED10	0.8526462282435747	
TRAPPC3	CTSC	0.8526462282435747	
TRAPPC4	SERPINA1	0.8526462282435747	
TRAPPC4	SEC31A	0.8497082254156562	
TRAPPC4	SEC24D	0.8549476386052599	
TRAPPC1	GOLGA2	0.8381680014777021	
TRAPPC5	SERPINA1	0.8526462282435747	
TRAPPC1	F8	0.8526462282435747	
TRAPPC3	SEC24B	0.8526462282435747	
TRAPPC3	SEC24D	0.8549476386052599	
TRAPPC5	SEC22B	0.8526462282435747	
TRAPPC6A	F8	0.8526462282435747	
TRAPPC4	SEC13	0.8497082254156562	
TRAPPC6A	STX5	0.8526462282435747	
